  record# Type Ch         TimeTag        TrueTime/ns    DTime
       329 CHN 0            1762764           88138508   1039
       331 CHN 0            1768835           88442060    993
       333 CHN 0            1769822           88491410     25
       335 CHN 0            1794759           89738264    992
       337 CHN 0            1801310           90065815   1093
       339 CHN 0            1806139           90307266   1064
       341 CHN 0            1829623           91481470   1047
       343 CHN 0            1834861           91743371   1035
       345 CHN 0            1835768           91788721   1022
       346 CHN 0            1835822           91791421   1044
       348 CHN 0            1840818           92041222   1009
       350 CHN 0            1850050           92502824   1045
       352 CHN 0            1854500           92725325   1248
       354 CHN 0            1882060           94103329   1002
       356 CHN 0            1894483           94724482   1032
       358 CHN 0            1910555           95528084    642
       360 CHN 0            1919826           95991636   1083
       362 CHN 0            1924893           96244987   1165
       364 CHN 0            1926226           96311637   1017
       366 CHN 0            1939439           96972289   1019
       368 CHN 0            1942970           97148840   1058
       370 CHN 0            1956098           97805242   1030
       372 CHN 0            1966904           98345544   1000
       374 CHN 0            1996911           99845899   1061
       377 CHN 0            2061494          103075061   1018
       379 CHN 0            2067996          103400162   1037
       381 CHN 0            2081162          104058464   1061
       383 CHN 0            2084755          104238115    988
       385 CHN 0            2091660          104583366    698
       387 CHN 0            2109779          105489319   1035
       389 CHN 0            2126678          106334272   1013
       392 CHN 0            2163226          108161679   1025
       394 CHN 0            2176123          108806531   2513
       396 CHN 0            2183767          109188732   1078
       398 CHN 0            2190895          109545133   1015
       400 CHN 0            2211060          110553387   1008
       402 CHN 0            2213135          110657137   1004
       404 CHN 0            2224303          111215539   1035
       406 CHN 0            2243522          112176493   1006
       408 CHN 0            2246619          112331343   2020
       410 CHN 0            2248219          112411343   1009
       412 CHN 0            2256226          112811695   1004
       413 CHN 0            2256496          112825195   1017
       415 CHN 0            2261541          113077446    959
       417 CHN 0            2281486          114074699   1003
       419 CHN 0            2291746          114587701   1065
       421 CHN 0            2310963          115548554   1012
       423 CHN 0            2312989          115649855   2355
       425 CHN 0            2315083          115754555   1014
       427 CHN 0            2319885          115994656    981
       431 CHN 0            2394313          119716069   1009
       433 CHN 0            2397165          119858670   1019
       435 CHN 0            2410124          120506622   1059
       437 CHN 0            2420584          121029624    976
       439 CHN 0            2440220          122011427   1079
       441 CHN 0            2457706          122885730   1044
       443 CHN 0            2473614          123681133   1019
       445 CHN 0            2497266          124863737    994
       447 CHN 0            2507391          125369989   1077
       449 CHN 0            2513873          125694090   1020
       451 CHN 0            2521536          126077241   1051
       453 CHN 0            2524445          126222692   1026
       455 CHN 0            2557608          127880848   1013
       457 CHN 0            2557958          127898348   1004
       459 CHN 0            2563495          128175199   1484
       461 CHN 0            2565003          128250599    994
       463 CHN 0            2576946          128847751    990
       465 CHN 0            2581717          129086302   1005
       467 CHN 0            2585935          129297203   1119
       469 CHN 0            2594682          129734554   1006
       471 CHN 0            2602586          130129755    995
       473 CHN 0            2604575          130229206   1025
       475 CHN 0            2608556          130428256   1066
       477 CHN 0            2618912          130946058    846
       479 CHN 0            2619616          130981258   1007
       481 CHN 0            2628318          131416360    988
       483 CHN 0            2638177          131909312   1016
       485 CHN 0            2641487          132074812   1365
       487 CHN 0            2655309          132765915   1111
       489 CHN 0            2656702          132835565   2955
       491 CHN 0            2657688          132884865    988
       494 CHN 0            2685459          134273420   1017
       496 CHN 0            2703995          135200223   1002
       498 CHN 0            2717824          135891676   1037
       500 CHN 0            2721738          136087376   1028
       502 CHN 0            2733270          136663978    999
       504 CHN 0            2745474          137274180    651
       506 CHN 0            2751813          137591132   1546
       508 CHN 0            2754659          137733432   1064
       510 CHN 0            2771859          138593435   1037
       512 CHN 0            2780122          139006587   1067
       514 CHN 0            2783792          139190087   1051
       516 CHN 0            2790727          139536838   1028
       518 CHN 0            2808072          140404091   1056
       519 CHN 0            2808447          140422841   1019
       521 CHN 0            2834879          141744446   1053
       523 CHN 0            2842497          142125347   1713
       525 CHN 0            2848743          142437649   1074
       527 CHN 0            2867504          143375702   1021
       529 CHN 0            2883053          144153155   1075
       531 CHN 0            2886894          144345205   1014
       533 CHN 0            2907132          145357109    990
       536 CHN 0            2943123          147156665   1021
       538 CHN 0            2946932          147347116   1027
       540 CHN 0            2961721          148086568    999
       542 CHN 0            2967898          148395419   1115
       544 CHN 0            2968777          148439370    993
       546 CHN 0            2970857          148543370   1004
       548 CHN 0            2993348          149667924   1005
       550 CHN 0            3006222          150311626   1017
       552 CHN 0            3009406          150470827    996
       554 CHN 0            3011574          150579227   1044
       556 CHN 0            3018240          150912528    984
       558 CHN 0            3020382          151019629   1031
       560 CHN 0            3034453          151723181   1015
       562 CHN 0            3047931          152397083   1024
       564 CHN 0            3051326          152566834    382
       566 CHN 0            3061056          153053336   1033
       568 CHN 0            3095022          154751642    445
       570 CHN 0            3097172          154859142    709
       572 CHN 0            3101917          155096393   1009
       574 CHN 0            3114714          155736245    737
       576 CHN 0            3124336          156217347   1001
       578 CHN 0            3130477          156524398    979
       580 CHN 0            3136290          156815049   1017
       582 CHN 0            3138252          156913149    705
       584 CHN 0            3151747          157587902    722
       586 CHN 0            3159149          157958003    997
       588 CHN 0            3163690          158185054    713
       590 CHN 0            3172590          158630055   1182
       592 CHN 0            3176584          158829756   1058
       594 CHN 0            3179426          158971856   1054
       597 CHN 0            3204835          160242311   1027
       599 CHN 0            3207259          160363511   1062
       602 CHN 0            3250107          162505919   1287
       604 CHN 0            3250288          162514969   1089
       606 CHN 0            3261878          163094471   1005
       608 CHN 0            3263628          163181971   1023
