  record# Type Ch         TimeTag        TrueTime/ns    DTime
      1945 CHN 0           10037342          501868857   1100
      1947 CHN 0           10056618          502832660   1060
      1950 CHN 0           10088161          504409815    996
      1952 CHN 0           10106298          505316669   1058
      1954 CHN 0           10122869          506145222   1011
      1955 CHN 0           10122985          506151022   1044
      1958 CHN 0           10165033          508253429   1054
      1960 CHN 0           10177178          508860681   1005
      1962 CHN 0           10179754          508989481    993
      1964 CHN 0           10201138          510058685   1048
      1966 CHN 0           10205096          510256586    687
      1968 CHN 0           10231979          511600741   1043
      1970 CHN 0           10237965          511900042   1120
      1973 CHN 0           10276332          513818398   1106
      1975 CHN 0           10289052          514454401   1004
      1977 CHN 0           10302672          515135403   1010
      1978 CHN 0           10302890          515146303   1108
      1980 CHN 0           10306229          515313254   1072
      1982 CHN 0           10323447          516174157   1008
      1985 CHN 0           10365147          518259164   1025
      1987 CHN 0           10382334          519118517    999
      1989 CHN 0           10387097          519356668   1077
      1991 CHN 0           10415647          520784173    981
      1993 CHN 0           10435929          521798276    991
      1996 CHN 0           10469779          523490782   2122
      1998 CHN 0           10470428          523523232   1028
      1999 CHN 0           10471280          523565832   1107
      2002 CHN 0           10506014          525302539   1033
      2004 CHN 0           10511878          525595740    993
      2006 CHN 0           10514127          525708190   1025
      2008 CHN 0           10519617          525982691   1010
      2010 CHN 0           10541933          527098495    716
      2012 CHN 0           10550897          527546696   2167
      2014 CHN 0           10558007          527902198   1020
      2016 CHN 0           10570266          528515150   1073
      2018 CHN 0           10575334          528768551   1335
      2020 CHN 0           10587851          529394403    991
      2023 CHN 0           10629168          531460260   1108
      2025 CHN 0           10632945          531649111   1023
      2027 CHN 0           10634449          531724311   2405
      2029 CHN 0           10636638          531833761   1144
      2032 CHN 0           10672783          533641018    979
      2034 CHN 0           10680589          534031319   1002
      2036 CHN 0           10681592          534081469    703
      2038 CHN 0           10707628          535383274   3088
      2040 CHN 0           10713737          535688725   1017
      2041 CHN 0           10713790          535691375   1052
      2043 CHN 0           10717289          535866326   1015
      2045 CHN 0           10729311          536467428   1210
      2048 CHN 0           10767075          538355634   1081
      2050 CHN 0           10770531          538528435   1014
      2052 CHN 0           10773204          538662085   1039
      2054 CHN 0           10790100          539506888   1024
      2056 CHN 0           10797106          539857190   1003
      2058 CHN 0           10805707          540287241   1023
      2060 CHN 0           10807003          540352041   1034
      2062 CHN 0           10807933          540398541   1055
      2064 CHN 0           10817013          540852543   1042
      2066 CHN 0           10818317          540917743   2293
      2068 CHN 0           10828062          541404995   1115
      2070 CHN 0           10839827          541993247   1059
      2072 CHN 0           10857298          542866800   1091
      2075 CHN 0           10885968          544300305    993
      2077 CHN 0           10900119          545007858   1038
      2079 CHN 0           10911461          545574960   1100
      2082 CHN 0           10959537          547978768    985
      2084 CHN 0           10970203          548512070   1033
      2086 CHN 0           10986800          549341923   1008
      2088 CHN 0           10988687          549436273   1022
      2090 CHN 0           11001064          550055125   1008
      2092 CHN 0           11020307          551017279   1011
      2093 CHN 0           11020341          551018979   1019
      2095 CHN 0           11022917          551147779   1067
      2097 CHN 0           11031908          551597331    989
      2099 CHN 0           11036108          551807331   1094
      2101 CHN 0           11038241          551913982   1084
      2103 CHN 0           11042730          552138432   1174
      2105 CHN 0           11045725          552288183   1083
      2106 CHN 0           11045857          552294783   1058
      2108 CHN 0           11050137          552508784   1019
      2110 CHN 0           11054466          552725235   1022
      2112 CHN 0           11068530          553428437    986
      2115 CHN 0           11113322          555668045   1044
      2117 CHN 0           11115913          555797595    637
      2119 CHN 0           11123845          556194197   1017
      2121 CHN 0           11159582          557981053    981
      2123 CHN 0           11181940          559098957    710
      2125 CHN 0           11201502          560077060   1017
      2127 CHN 0           11240304          562017167    638
      2130 CHN 0           11263711          563187521   1049
      2132 CHN 0           11300445          565024228   1012
      2135 CHN 0           11340589          567031435   1003
      2137 CHN 0           11348930          567448486   1002
      2139 CHN 0           11361167          568060338   1222
      2141 CHN 0           11365663          568285139   1026
      2143 CHN 0           11392504          569627194   1022
      2145 CHN 0           11407895          570396746    983
      2147 CHN 0           11420107          571007349   1883
      2149 CHN 0           11421227          571063349    625
      2151 CHN 0           11427081          571356050   1046
      2153 CHN 0           11431767          571590351    509
      2155 CHN 0           11440037          572003852   1093
      2157 CHN 0           11443383          572171153   3079
      2159 CHN 0           11458757          572939855   1014
      2161 CHN 0           11473052          573654608   1067
      2163 CHN 0           11490657          574534861   1009
      2165 CHN 0           11505624          575283213   1233
      2167 CHN 0           11508101          575407064   1033
      2169 CHN 0           11520067          576005366    987
      2171 CHN 0           11529996          576501818    994
      2173 CHN 0           11538424          576923219    699
      2175 CHN 0           11541024          577053220   1024
      2177 CHN 0           11543654          577184720   1050
      2179 CHN 0           11559555          577979773   1016
      2181 CHN 0           11576600          578832026    233
      2184 CHN 0           11604967          580250381   1047
      2186 CHN 0           11626774          581340735   1021
      2188 CHN 0           11629036          581453835    992
      2190 CHN 0           11632512          581627636   1044
      2192 CHN 0           11635712          581787636    983
      2194 CHN 0           11644702          582237138    996
      2196 CHN 0           11674846          583744343   2088
      2198 CHN 0           11682790          584141544   1329
      2200 CHN 0           11683643          584184195    982
      2202 CHN 0           11685566          584280345   1009
      2204 CHN 0           11713753          585689700   1016
      2206 CHN 0           11730398          586521953   1830
      2207 CHN 0           11730867          586545403    703
      2209 CHN 0           11735349          586769504   1051
      2211 CHN 0           11762177          588110908    697
      2213 CHN 0           11778064          588905261   1017
      2215 CHN 0           11786006          589302363   1045
      2217 CHN 0           11790869          589545513   1034
      2219 CHN 0           11793360          589670064   1079
      2221 CHN 0           11802999          590152016   1066
      2223 CHN 0           11812562          590630167   1096
      2225 CHN 0           11817123          590858218   1062
      2227 CHN 0           11823718          591187969    997
      2229 CHN 0           11860080          593006076    698
      2232 CHN 0           11885594          594281780   1046
      2234 CHN 0           11899759          594990032   1052
      2237 CHN 0           11923412          596172687    989
      2239 CHN 0           11935529          596778539   1078
      2241 CHN 0           11938420          596923089   1036
      2243 CHN 0           11945766          597290391   1057
      2245 CHN 0           11959893          597996743    974
      2248 CHN 0           12003347          600169451   1274
      2250 CHN 0           12014940          600749103   1061
      2252 CHN 0           12027089          601356555   1535
      2254 CHN 0           12029461          601475155   1016
      2256 CHN 0           12032597          601631956   1355
      2258 CHN 0           12037171          601860657    637
      2260 CHN 0           12049128          602458509   1015
      2262 CHN 0           12067225          603363362   1070
      2264 CHN 0           12069909          603497562   1179
      2266 CHN 0           12080309          604017564   1039
      2268 CHN 0           12082607          604132464   1068
      2270 CHN 0           12090579          604531066    994
      2272 CHN 0           12113842          605694220    421
      2274 CHN 0           12127540          606379122   1110
      2276 CHN 0           12129565          606480373   1070
      2279 CHN 0           12166992          608351729    977
      2281 CHN 0           12190509          609527583   1003
      2283 CHN 0           12202965          610150386    641
      2285 CHN 0           12205707          610287486   1731
      2287 CHN 0           12208344          610419336   1074
      2290 CHN 0           12246322          612318243    702
      2292 CHN 0           12253552          612679744   1101
      2294 CHN 0           12264893          613246796   1004
      2296 CHN 0           12272739          613639098    654
      2298 CHN 0           12277890          613896649    452
      2300 CHN 0           12284571          614230700   1004
      2302 CHN 0           12305900          615297154    993
      2304 CHN 0           12311929          615598605   1100
      2306 CHN 0           12324992          616251757   1064
      2308 CHN 0           12327773          616390807    991
      2309 CHN 0           12327930          616398657   1025
      2311 CHN 0           12331245          616564408   1054
      2313 CHN 0           12334381          616721209    980
      2315 CHN 0           12342168          617110560    999
      2317 CHN 0           12353127          617658512   1016
      2319 CHN 0           12375858          618795066   1154
      2321 CHN 0           12377876          618895966   1731
      2323 CHN 0           12380953          619049817    996
      2325 CHN 0           12396088          619806569   1051
      2327 CHN 0           12398073          619905820   1054
      2329 CHN 0           12399189          619961620   1004
      2331 CHN 0           12400920          620048170   1065
      2333 CHN 0           12404419          620223121   1255
      2335 CHN 0           12409135          620458922    979
      2337 CHN 0           12421127          621058524   1579
      2339 CHN 0           12457730          622888680   1050
      2341 CHN 0           12462241          623114231   1018
      2343 CHN 0           12463180          623161181    996
      2345 CHN 0           12486875          624345935   2221
      2347 CHN 0           12489095          624456936   1107
      2349 CHN 0           12490396          624521986   1085
      2351 CHN 0           12494888          624746587   1031
      2353 CHN 0           12505522          625278288    652
      2355 CHN 0           12511014          625552889    668
      2357 CHN 0           12515513          625777840   1030
      2360 CHN 0           12554289          627716647   1061
      2362 CHN 0           12575013          628752851   1037
      2364 CHN 0           12584414          629222902   1032
      2366 CHN 0           12596154          629809904   1002
      2368 CHN 0           12603247          630164556    984
      2370 CHN 0           12611500          630577207   1001
      2372 CHN 0           12613458          630675107   1189
      2374 CHN 0           12622149          631109659   2998
      2376 CHN 0           12632248          631614611   1128
      2378 CHN 0           12634573          631730861   1024
      2380 CHN 0           12637820          631893212    985
      2382 CHN 0           12651802          632592314   1064
      2384 CHN 0           12660626          633033516   1059
      2386 CHN 0           12661855          633094966    733
      2388 CHN 0           12665590          633281716    633
      2390 CHN 0           12669760          633490217    988
      2392 CHN 0           12686711          634337770   1084
      2394 CHN 0           12689854          634494921   2180
      2396 CHN 0           12691046          634554521   1005
      2397 CHN 0           12691412          634572821   2387
      2399 CHN 0           12697437          634874072    980
      2401 CHN 0           12699249          634964672   1180
      2403 CHN 0           12708190          635411724   1017
      2405 CHN 0           12709023          635453374   1030
      2407 CHN 0           12718711          635937776   1018
      2409 CHN 0           12731881          636596278   1010
      2411 CHN 0           12734534          636728929    996
      2413 CHN 0           12742285          637116480    994
      2415 CHN 0           12752494          637626932   1026
      2417 CHN 0           12760911          638047783   1038
      2419 CHN 0           12766512          638327834   1012
      2421 CHN 0           12768661          638435285   1050
      2423 CHN 0           12770773          638540885    990
      2425 CHN 0           12771872          638595835   1122
      2427 CHN 0           12780470          639025737   1005
      2429 CHN 0           12790813          639542888   1050
      2431 CHN 0           12796935          639848989    978
      2433 CHN 0           12800257          640015090   1121
      2435 CHN 0           12809602          640482342   1042
      2437 CHN 0           12812557          640630092   1580
      2439 CHN 0           12821849          641094694   1014
      2441 CHN 0           12841449          642074697   1026
      2443 CHN 0           12845866          642295548   1002
      2445 CHN 0           12852867          642645599   1072
      2447 CHN 0           12874773          643740903   1574
      2449 CHN 0           12880694          644036954   1019
      2451 CHN 0           12884206          644212555   1142
      2453 CHN 0           12918841          645944311   1036
      2455 CHN 0           12936053          646804914   1017
      2457 CHN 0           12953093          647656917   1014
      2459 CHN 0           12969012          648452870   1058
      2461 CHN 0           12974046          648704570   1033
      2464 CHN 0           13015095          650757028   1046
      2466 CHN 0           13024311          651217829   1054
      2468 CHN 0           13029485          651476530   1094
      2469 CHN 0           13029544          651479480   1106
      2471 CHN 0           13035641          651784331   1079
      2473 CHN 0           13060673          653035936   1028
      2475 CHN 0           13062718          653138186   1098
      2477 CHN 0           13081776          654091089   1080
      2479 CHN 0           13111999          655602245    996
      2481 CHN 0           13134337          656719149   1040
      2483 CHN 0           13154779          657741252   1042
      2485 CHN 0           13159561          657980353   2215
      2487 CHN 0           13163144          658159504   1090
      2488 CHN 0           13163504          658177504   1114
      2490 CHN 0           13179131          658958856   1012
      2492 CHN 0           13183228          659163707    998
      2494 CHN 0           13187300          659367308   1076
      2496 CHN 0           13222486          661126614   1036
      2498 CHN 0           13251698          662587219   1068
      2501 CHN 0           13295948          664799727   1018
      2503 CHN 0           13309507          665477679   1040
      2505 CHN 0           13314214          665713030   1022
      2507 CHN 0           13321240          666064331    997
      2509 CHN 0           13323772          666190932   1041
      2511 CHN 0           13336958          666850234    703
      2513 CHN 0           13346121          667308386   1023
      2515 CHN 0           13348392          667421936   1037
      2517 CHN 0           13351345          667569586   1059
      2519 CHN 0           13367190          668361839   1036
      2521 CHN 0           13371814          668593040   1226
      2523 CHN 0           13373743          668689490   1084
      2525 CHN 0           13379329          668968791   1076
      2527 CHN 0           13397495          669877095   1116
      2528 CHN 0           13397500          669877345    996
      2529 CHN 0           13397603          669882495   1194
      2531 CHN 0           13398961          669950395   1014
      2534 CHN 0           13440613          672033002   1254
      2536 CHN 0           13455514          672778055   1179
      2539 CHN 0           13484814          674243060   1076
      2541 CHN 0           13504953          675250013   1087
      2543 CHN 0           13514267          675715715   1069
      2545 CHN 0           13518127          675908716   1069
      2547 CHN 0           13520411          676022916   1103
      2549 CHN 0           13522511          676127916    992
      2551 CHN 0           13538220          676913369   1086
      2554 CHN 0           13567848          678394774   1389
      2556 CHN 0           13571059          678555325    713
      2558 CHN 0           13593187          679661729   1015
      2560 CHN 0           13593911          679697929    641
      2561 CHN 0           13594507          679727729   1020
      2563 CHN 0           13609018          680453282   2442
      2565 CHN 0           13632860          681645386   1278
      2567 CHN 0           13636442          681824486   1768
      2569 CHN 0           13641502          682077487   1175
      2570 CHN 0           13641563          682080537    336
      2572 CHN 0           13661044          683054591   1965
      2574 CHN 0           13668619          683433342    692
      2576 CHN 0           13675540          683779393   1382
      2578 CHN 0           13699254          684965097   1003
      2580 CHN 0           13712733          685639050   1044
      2581 CHN 0           13712768          685640800   1002
      2583 CHN 0           13736376          686821204   1005
      2585 CHN 0           13740328          687018805    990
      2586 CHN 0           13740451          687024955   1073
      2588 CHN 0           13755004          687752607    998
      2590 CHN 0           13779826          688993711   1013
      2592 CHN 0           13782858          689145312   1320
      2594 CHN 0           13818061          690905468    704
      2597 CHN 0           13851044          692554624   1031
      2599 CHN 0           13856542          692829525   1066
      2601 CHN 0           13857250          692864925    988
      2604 CHN 0           13898008          694902832    995
      2606 CHN 0           13902038          695104333   3079
      2608 CHN 0           13904618          695233333   1034
      2610 CHN 0           13919016          695953236   1079
      2612 CHN 0           13936201          696812489   1314
      2614 CHN 0           13941225          697063690    994
      2616 CHN 0           13948679          697436391    997
      2618 CHN 0           13967285          698366694   1027
      2620 CHN 0           13969587          698481795   1012
      2622 CHN 0           13985812          699293048   1029
      2624 CHN 0           13994898          699747349   1039
      2626 CHN 0           14005714          700288151    625
      2628 CHN 0           14011470          700575952   1054
      2630 CHN 0           14016376          700821253    971
      2632 CHN 0           14036187          701811806   1134
      2634 CHN 0           14048365          702420708   1020
      2636 CHN 0           14072261          703615513   1091
      2638 CHN 0           14075945          703799713   1037
      2640 CHN 0           14093772          704691066   1039
      2642 CHN 0           14098003          704902617    690
      2644 CHN 0           14107769          705390919   1009
      2647 CHN 0           14144724          707238675   1012
      2648 CHN 0           14145222          707263575   1044
      2650 CHN 0           14150478          707526376    988
      2652 CHN 0           14151234          707564176   1081
      2654 CHN 0           14172394          708622180   1012
      2656 CHN 0           14182408          709122882   1013
      2658 CHN 0           14190391          709522033    998
      2660 CHN 0           14194796          709742284   1226
      2662 CHN 0           14206592          710332086   1003
      2664 CHN 0           14231258          711565390   2800
      2666 CHN 0           14233282          711666591    976
      2667 CHN 0           14233342          711669591   1019
      2669 CHN 0           14247606          712382793   1006
      2671 CHN 0           14255051          712755045   1103
      2673 CHN 0           14255194          712762195   1000
      2675 CHN 0           14256228          712813895   1776
      2677 CHN 0           14261003          713052646   1104
      2679 CHN 0           14273914          713698198   1057
      2681 CHN 0           14298568          714930902   1006
      2683 CHN 0           14310003          715502654    726
      2685 CHN 0           14312765          715640755   1013
      2687 CHN 0           14314102          715707605   2159
      2689 CHN 0           14333550          716680008   1041
      2691 CHN 0           14340645          717034760   1212
      2693 CHN 0           14348531          717429061   1008
      2695 CHN 0           14350812          717543111    707
      2696 CHN 0           14351087          717556861   1153
      2698 CHN 0           14356810          717843012    691
      2700 CHN 0           14375497          718777366   1004
      2702 CHN 0           14391247          719564868   1073
      2704 CHN 0           14399034          719954220   1009
      2706 CHN 0           14401145          720059770    704
      2708 CHN 0           14404363          720220671    988
      2710 CHN 0           14406230          720314021    997
      2712 CHN 0           14408273          720416171   1022
      2714 CHN 0           14417523          720878673   1003
      2716 CHN 0           14419773          720991173   1066
      2718 CHN 0           14421528          721078924    991
      2720 CHN 0           14425316          721268324   1018
      2722 CHN 0           14428855          721445275   1089
      2724 CHN 0           14447444          722374728    714
      2726 CHN 0           14449791          722492079   1216
      2728 CHN 0           14452534          722629229   1060
      2730 CHN 0           14462101          723107581   1012
      2732 CHN 0           14473425          723673783   1056
      2734 CHN 0           14485681          724286585   1077
      2736 CHN 0           14490211          724513086   1076
      2738 CHN 0           14496353          724820187   1015
      2740 CHN 0           14497864          724895737   1024
      2742 CHN 0           14501688          725086938    507
      2744 CHN 0           14516713          725838190   1161
      2746 CHN 0           14526914          726348242   1044
      2748 CHN 0           14537990          726902044    634
      2750 CHN 0           14539779          726991494    979
      2753 CHN 0           14579569          728981001   1130
      2755 CHN 0           14583374          729171252   3008
      2757 CHN 0           14608852          730445157   1179
      2759 CHN 0           14624728          731238959    705
      2761 CHN 0           14639979          732001512    999
      2763 CHN 0           14646173          732311213   1009
      2765 CHN 0           14646507          732327913   1027
      2768 CHN 0           14698765          734940822    998
      2771 CHN 0           14734353          736720229   1042
      2773 CHN 0           14736022          736803679   2757
      2775 CHN 0           14740125          737008830   2030
      2778 CHN 0           14765631          738284134   1502
      2780 CHN 0           14771397          738572435   1011
      2782 CHN 0           14784176          739211387    626
      2784 CHN 0           14784701          739237637   1079
      2786 CHN 0           14796178          739811489   1150
      2788 CHN 0           14810754          740540292    997
      2790 CHN 0           14826552          741330195    982
      2792 CHN 0           14836010          741803096   1101
      2794 CHN 0           14855717          742788450    629
      2796 CHN 0           14867191          743362152   1362
      2798 CHN 0           14874782          743741703   1010
      2799 CHN 0           14875215          743763353   1009
      2801 CHN 0           14877407          743872954   2316
      2803 CHN 0           14880012          744003204   1145
      2806 CHN 0           14908305          745417859   1041
      2808 CHN 0           14940982          747051715   1039
      2810 CHN 0           14955451          747775167   1023
      2812 CHN 0           14967467          748375969   1019
      2814 CHN 0           14976377          748821471    982
      2816 CHN 0           14994773          749741274   1022
      2818 CHN 0           15004146          750209926   1035
      2820 CHN 0           15024992          751252229   1049
      2822 CHN 0           15046829          752344083   1144
      2824 CHN 0           15050915          752548384   1012
      2826 CHN 0           15055984          752801835   1054
      2828 CHN 0           15059953          753000286   1146
      2830 CHN 0           15079815          753993389   1001
      2832 CHN 0           15092229          754614091   1079
      2834 CHN 0           15094939          754749592   1036
      2836 CHN 0           15105371          755271193   1050
      2838 CHN 0           15127277          756366497   1005
      2840 CHN 0           15129937          756499498   1068
      2842 CHN 0           15159253          757965303   1148
      2845 CHN 0           15209771          760491212   1016
      2847 CHN 0           15226751          761340215   1023
      2849 CHN 0           15232711          761638216    978
      2851 CHN 0           15241410          762073167   1372
      2853 CHN 0           15244579          762231618   1017
      2855 CHN 0           15281750          764090174   1018
      2857 CHN 0           15296090          764807177    987
      2859 CHN 0           15298364          764920877   1067
      2861 CHN 0           15310512          765528279   1073
      2863 CHN 0           15313805          765692930    777
      2866 CHN 0           15345189          767262135   1059
      2868 CHN 0           15360340          768019688   1002
      2870 CHN 0           15361622          768083788   1040
      2872 CHN 0           15372831          768644240   2502
      2874 CHN 0           15374514          768728391   1359
      2876 CHN 0           15377949          768900141   1050
      2878 CHN 0           15385020          769253692   1051
      2880 CHN 0           15421573          771081349   1023
      2882 CHN 0           15427856          771395500   2395
      2884 CHN 0           15450675          772536454   1039
      2886 CHN 0           15470081          773506757    984
      2888 CHN 0           15489830          774494211   1016
      2890 CHN 0           15522168          776111116   1093
      2892 CHN 0           15524861          776245767   1041
      2894 CHN 0           15537995          776902469   1010
      2896 CHN 0           15546177          777311571    889
      2898 CHN 0           15552956          777650522    991
      2900 CHN 0           15555185          777761972   1008
      2902 CHN 0           15559287          777967073   1229
      2904 CHN 0           15571654          778585425   1030
      2905 CHN 0           15571934          778599425   1054
      2907 CHN 0           15580209          779013177   1197
      2909 CHN 0           15593744          779689929   1137
      2910 CHN 0           15594177          779711579    987
      2913 CHN 0           15641262          782065837   1012
      2915 CHN 0           15647378          782371638   1000
      2917 CHN 0           15682103          784107894   1034
      2919 CHN 0           15685320          784268745   1014
      2921 CHN 0           15694056          784705546   1022
      2924 CHN 0           15728840          786444753   1077
      2927 CHN 0           15766314          788318459   1164
      2929 CHN 0           15767515          788378509   1116
      2931 CHN 0           15776552          788830361   1020
      2933 CHN 0           15782885          789147012   1033
      2935 CHN 0           15785096          789257562   1023
      2937 CHN 0           15792096          789607564    989
      2939 CHN 0           15806649          790335216   1435
      2941 CHN 0           15837033          791854421   1012
      2943 CHN 0           15848581          792431824    983
      2945 CHN 0           15860129          793009226   1029
      2948 CHN 0           15902705          795138033   1005
      2950 CHN 0           15903028          795154183   1010
      2952 CHN 0           15915659          795785735   1005
      2954 CHN 0           15918030          795904286    717
      2957 CHN 0           15944886          797247090   1048
      2959 CHN 0           15967383          798371944    121
      2961 CHN 0           15991400          799572799    990
      2963 CHN 0           16010461          800525852   2355
      2965 CHN 0           16023604          801183004   2935
      2967 CHN 0           16030071          801506355   1238
      2970 CHN 0           16075620          803783813    449
      2972 CHN 0           16079119          803958764   1147
      2974 CHN 0           16088570          804431316    708
      2976 CHN 0           16096246          804815117   1053
      2978 CHN 0           16099194          804962517   1002
      2980 CHN 0           16102590          805132318   1030
      2982 CHN 0           16129765          806491073    988
      2984 CHN 0           16139267          806966174   1000
      2986 CHN 0           16154712          807738427   1111
      2988 CHN 0           16157002          807852927   1051
      2990 CHN 0           16169119          808458780   1039
      2992 CHN 0           16174432          808724431   1024
      2994 CHN 0           16180232          809014432    992
      2996 CHN 0           16184744          809240032   1006
      2998 CHN 0           16201959          810100785   1028
      3000 CHN 0           16203301          810167886   1006
      3002 CHN 0           16205178          810261736   1020
      3004 CHN 0           16239441          811974892   2496
      3006 CHN 0           16241093          812057492    998
      3008 CHN 0           16264048          813205246   1318
      3010 CHN 0           16286548          814330250   1026
      3012 CHN 0           16290098          814507751   1097
      3014 CHN 0           16309715          815488604   1016
      3016 CHN 0           16321008          816053256   1037
      3018 CHN 0           16322963          816151007   1089
      3020 CHN 0           16338934          816949559   1081
      3022 CHN 0           16339948          817000260   1084
      3024 CHN 0           16343272          817166460   1125
      3027 CHN 0           16392218          819613769   1030
      3029 CHN 0           16405606          820283171    650
      3031 CHN 0           16408465          820426121    647
      3033 CHN 0           16420973          821051524   1027
      3035 CHN 0           16422904          821148074   1192
      3037 CHN 0           16434616          821733676    988
      3039 CHN 0           16439829          821994327   1010
      3041 CHN 0           16444234          822214578    999
      3043 CHN 0           16456035          822804630   1285
      3045 CHN 0           16473878          823696783   1020
      3047 CHN 0           16496757          824840737   1119
      3049 CHN 0           16501046          825055188   1014
      3051 CHN 0           16503671          825186438    989
      3053 CHN 0           16509001          825452939   1094
      3055 CHN 0           16515650          825785390   1143
      3057 CHN 0           16521234          826064591   1090
      3059 CHN 0           16536498          826827794    979
      3061 CHN 0           16550185          827512146    551
      3064 CHN 0           16602908          830148306   1075
      3066 CHN 0           16608287          830417256    695
      3069 CHN 0           16662441          833124966   1038
      3072 CHN 0           16708541          835429974   1031
      3074 CHN 0           16719448          835975326   1190
      3076 CHN 0           16729597          836482778   1018
      3078 CHN 0           16735307          836768279   1133
      3080 CHN 0           16737146          836860229   1017
      3082 CHN 0           16754541          837729982   1036
      3084 CHN 0           16756122          837809032   1052
      3086 CHN 0           16763483          838177084   1074
      3088 CHN 0           16766157          838310784    277
      3089 CHN 0           16766908          838348334   1031
      3091 CHN 0           16777401          838872986   1042
      3092 CHN 0           16777745          838890186   1025
      3094 CHN 0           16790033          839504588   3015
      3096 CHN 0           16810227          840514292   1018
      3098 CHN 0           16828034          841404645   1023
      3100 CHN 0           16845869          842296398    983
      3102 CHN 0           16876697          843837803    997
      3104 CHN 0           16884381          844222005   1099
      3106 CHN 0           16887442          844375055   1176
      3108 CHN 0           16894294          844717657   2624
      3109 CHN 0           16894530          844729457   1012
      3111 CHN 0           16906749          845340409   1053
      3113 CHN 0           16907601          845383009   1027
      3116 CHN 0           16951919          847598917   1003
      3118 CHN 0           16955336          847769767   1023
      3120 CHN 0           16974579          848731921   1308
      3122 CHN 0           16981153          849060622   1204
      3124 CHN 0           16989269          849466423   1064
      3126 CHN 0           17005794          850292676   1045
      3128 CHN 0           17012781          850642027   1081
      3130 CHN 0           17022623          851134129    985
      3132 CHN 0           17024265          851216229    990
      3134 CHN 0           17043238          852164883    987
      3136 CHN 0           17045908          852298383   1025
      3138 CHN 0           17061526          853079286   1082
      3140 CHN 0           17065374          853271686   1027
      3142 CHN 0           17075089          853757438   1035
      3144 CHN 0           17092042          854605091   1049
      3146 CHN 0           17093047          854655341    653
      3148 CHN 0           17099302          854968092    984
      3150 CHN 0           17103167          855161343   1065
      3152 CHN 0           17106591          855332544    982
      3154 CHN 0           17120828          856044396   1026
      3156 CHN 0           17145735          857289751    696
      3158 CHN 0           17180686          859037307    996
      3160 CHN 0           17190727          859539358   1242
      3162 CHN 0           17196649          859835459   1148
      3164 CHN 0           17201701          860088060    991
      3166 CHN 0           17204064          860206211   1008
      3168 CHN 0           17207237          860364861   1117
      3170 CHN 0           17214310          860718513    986
      3173 CHN 0           17247719          862388968   1080
      3175 CHN 0           17258351          862920570   1044
      3177 CHN 0           17263261          863166071   1011
      3179 CHN 0           17265849          863295472    416
      3180 CHN 0           17266115          863308772   1022
      3182 CHN 0           17285182          864262125   1032
      3184 CHN 0           17289604          864483226   1017
      3186 CHN 0           17290334          864519726   1031
      3189 CHN 0           17328006          866403332    705
      3191 CHN 0           17360224          868014238    988
      3193 CHN 0           17378929          868949491   1039
      3195 CHN 0           17381712          869088642   1040
      3197 CHN 0           17395523          869779194    685
      3199 CHN 0           17402244          870115245   1032
      3201 CHN 0           17430211          871513600   1009
      3203 CHN 0           17431242          871565150    997
      3205 CHN 0           17438617          871933902   1046
      3207 CHN 0           17443034          872154753   1229
      3210 CHN 0           17487897          874397910   1062
      3212 CHN 0           17489361          874471111   1044
      3214 CHN 0           17492670          874636561   1072
      3216 CHN 0           17508660          875436064   1114
      3218 CHN 0           17512934          875649765    995
      3220 CHN 0           17535076          876756869   1028
      3222 CHN 0           17558985          877952323   1199
      3224 CHN 0           17561303          878068223   2326
      3226 CHN 0           17564384          878222274   1054
      3228 CHN 0           17569647          878485425   1087
      3230 CHN 0           17571844          878595275   1045
      3233 CHN 0           17603534          880179781   1032
      3235 CHN 0           17609955          880500832   1041
      3237 CHN 0           17613083          880657232   1088
      3239 CHN 0           17616970          880851583   1001
      3241 CHN 0           17619988          881002484    998
      3242 CHN 0           17620501          881028134   1118
      3244 CHN 0           17624043          881205234   1078
      3247 CHN 0           17699221          884964147   1010
      3249 CHN 0           17711509          885578550   1018
      3251 CHN 0           17716794          885842800   1176
      3253 CHN 0           17723991          886202652   1039
      3255 CHN 0           17725820          886294102   1035
      3257 CHN 0           17731868          886596503   1041
      3259 CHN 0           17750417          887523956   1015
      3261 CHN 0           17769863          888496260    135
      3263 CHN 0           17775735          888789861   1000
      3265 CHN 0           17790034          889504813   1514
      3267 CHN 0           17798841          889945165   1129
      3268 CHN 0           17799113          889958765   1040
      3271 CHN 0           17836907          891848471   1011
      3273 CHN 0           17839968          892001522   1002
      3275 CHN 0           17859290          892967625   1181
      3277 CHN 0           17863531          893179676    997
      3279 CHN 0           17867012          893353727   1037
      3282 CHN 0           17907372          895371734    997
      3283 CHN 0           17907685          895387384   1041
      3285 CHN 0           17912653          895635785   1013
      3287 CHN 0           17928676          896436938    698
      3289 CHN 0           17953478          897677042   1205
      3291 CHN 0           17956031          897804692   1013
      3293 CHN 0           17960005          898003393   1028
      3295 CHN 0           17972618          898634045   1004
      3297 CHN 0           17997707          899888500   1058
      3299 CHN 0           18006169          900311601    675
      3301 CHN 0           18008063          900406301    984
      3303 CHN 0           18011104          900558352   1048
      3306 CHN 0           18051826          902594459   1003
      3308 CHN 0           18063544          903180361    994
      3310 CHN 0           18065700          903288162    694
      3312 CHN 0           18084225          904214415   1038
